Holiday,Temperature,Rainfall_last_hour,Snowfall_last_hour,Cloud_Cover,Weather,Date,Traffic_Vol,Weather_Encoded,Weather_Desc_Encoded,TimeStamp_Hour,TimeStamp_Minute,Is_AM,Temperature_Bin,Season
0.0,289.28,0.0,0.0,40,Cloudy skies,2008-10-02,5555,3,19,9,0,1,9,Autumn
0.0,290.26,0.0,0.0,75,Cloudy skies,2008-10-02,4525,3,9,10,0,1,9,Autumn
0.0,290.28,0.0,0.0,90,Cloudy skies,2008-10-02,4772,3,10,11,0,1,9,Autumn
0.0,290.33,0.0,0.0,90,Cloudy skies,2008-10-02,5031,3,10,12,0,0,9,Autumn
0.0,292.14,0.0,0.0,75,Cloudy skies,2008-10-02,4928,3,9,13,0,0,9,Autumn
0.0,292.72,0.0,0.0,1,Clear skies,2008-10-02,5190,2,3,14,0,0,9,Autumn
0.0,293.37,0.0,0.0,1,Clear skies,2008-10-02,5587,2,3,15,0,0,9,Autumn
0.0,294.16,0.0,0.0,1,Clear skies,2008-10-02,6025,2,3,16,0,0,9,Autumn
0.0,294.84,0.0,0.0,20,Cloudy skies,2008-10-02,5796,3,20,17,0,0,9,Autumn
0.0,293.7,0.0,0.0,20,Cloudy skies,2008-10-02,4773,3,20,18,0,0,9,Autumn
0.0,291.67,0.0,0.0,21,Cloudy skies,2008-10-02,3545,3,20,19,0,0,9,Autumn
0.0,289.98,0.0,0.0,2,Clear skies,2008-10-02,2790,2,3,20,0,0,9,Autumn
0.0,289.51,0.0,0.0,2,Clear skies,2008-10-02,2366,2,3,21,0,0,9,Autumn
0.0,287.56,0.0,0.0,2,Clear skies,2008-10-02,1535,2,3,22,0,0,9,Autumn
0.0,286.05,0.0,0.0,1,Clear skies,2008-10-02,972,2,3,23,0,0,9,Autumn
0.0,284.73,0.0,0.0,1,Clear skies,2008-10-03,507,2,3,0,0,1,9,Autumn
0.0,284.17,0.0,0.0,1,Clear skies,2008-10-03,322,2,3,1,0,1,9,Autumn
0.0,282.08,0.0,0.0,1,Clear skies,2008-10-03,280,2,3,2,0,1,9,Autumn
0.0,281.99,0.0,0.0,2,Clear skies,2008-10-03,372,2,3,3,0,1,9,Autumn
0.0,279.73,0.0,0.0,1,Clear skies,2008-10-03,817,2,3,4,0,1,8,Autumn
0.0,279.52,0.0,0.0,1,Clear skies,2008-10-03,2720,2,3,5,0,1,8,Autumn
0.0,279.03,0.0,0.0,2,Clear skies,2008-10-03,5682,2,3,6,0,1,8,Autumn
0.0,278.62,0.0,0.0,1,Clear skies,2008-10-03,6514,2,3,8,0,1,8,Autumn
0.0,282.68,0.0,0.0,2,Clear skies,2008-10-03,5475,2,3,9,0,1,9,Autumn
0.0,292.17,0.0,0.0,1,Clear skies,2008-10-03,5107,2,3,12,0,0,9,Autumn
0.0,293.43,0.0,0.0,1,Clear skies,2008-10-03,4890,2,3,13,0,0,9,Autumn
0.0,294.81,0.0,0.0,1,Clear skies,2008-10-03,5343,2,3,14,0,0,9,Autumn
0.0,295.57,0.0,0.0,1,Clear skies,2008-10-03,5693,2,3,15,0,0,9,Autumn
0.0,295.63,0.0,0.0,2,Clear skies,2008-10-03,6140,2,3,16,0,0,9,Autumn
0.0,293.76,0.0,0.0,20,Cloudy skies,2008-10-03,4630,3,20,18,0,0,9,Autumn
0.0,290.95,0.0,0.0,20,Cloudy skies,2008-10-03,3595,3,20,19,0,0,9,Autumn
0.0,289.19,0.0,0.0,20,Cloudy skies,2008-10-03,2908,3,20,20,0,0,9,Autumn
0.0,287.8,0.0,0.0,1,Clear skies,2008-10-03,2639,2,3,21,0,0,9,Autumn
0.0,286.75,0.0,0.0,1,Clear skies,2008-10-03,1783,2,3,22,0,0,9,Autumn
0.0,285.46,0.0,0.0,1,Clear skies,2008-10-03,1016,2,3,23,0,0,9,Autumn
0.0,285.25,0.0,0.0,2,Clear skies,2008-10-04,600,2,3,0,0,1,9,Autumn
0.0,284.07,0.0,0.0,1,Clear skies,2008-10-04,375,2,3,1,0,1,9,Autumn
0.0,283.67,0.0,0.0,1,Clear skies,2008-10-04,313,2,3,2,0,1,9,Autumn
0.0,282.84,0.0,0.0,1,Clear skies,2008-10-04,372,2,3,3,0,1,9,Autumn
0.0,281.89,0.0,0.0,1,Clear skies,2008-10-04,843,2,3,4,0,1,9,Autumn
0.0,281.52,0.0,0.0,1,Clear skies,2008-10-04,2730,2,3,5,0,1,9,Autumn
0.0,281.64,0.0,0.0,1,Clear skies,2008-10-04,5695,2,3,6,0,1,9,Autumn
0.0,280.87,0.0,0.0,2,Clear skies,2008-10-04,6999,2,3,7,0,1,9,Autumn
0.0,282.26,0.0,0.0,1,Clear skies,2008-10-04,5989,2,3,8,0,1,9,Autumn
0.0,285.78,0.0,0.0,1,Clear skies,2008-10-04,5312,2,3,9,0,1,9,Autumn
0.0,289.38,0.0,0.0,1,Clear skies,2008-10-04,4606,2,3,10,0,1,9,Autumn
0.0,292.55,0.0,0.0,1,Clear skies,2008-10-04,4885,2,3,11,0,1,9,Autumn
0.0,295.97,0.0,0.0,1,Clear skies,2008-10-04,5113,2,3,12,0,0,9,Autumn
0.0,296.78,0.0,0.0,1,Clear skies,2008-10-04,5187,2,3,13,0,0,9,Autumn
0.0,297.62,0.0,0.0,2,Clear skies,2008-10-04,5504,2,3,14,0,0,9,Autumn
0.0,298.37,0.0,0.0,2,Clear skies,2008-10-04,5715,2,3,15,0,0,9,Autumn
0.0,298.26,0.0,0.0,21,Cloudy skies,2008-10-04,6298,3,20,16,0,0,9,Autumn
0.0,298.17,0.0,0.0,20,Cloudy skies,2008-10-04,6061,3,20,17,0,0,9,Autumn
0.0,296.76,0.0,0.0,40,Cloudy skies,2008-10-04,4912,3,19,18,0,0,9,Autumn
0.0,294.85,0.0,0.0,40,Cloudy skies,2008-10-04,3508,3,19,19,0,0,9,Autumn
0.0,292.73,0.0,0.0,41,Cloudy skies,2008-10-04,3038,3,19,20,0,0,9,Autumn
0.0,292.67,0.0,0.0,75,Cloudy skies,2008-10-04,2825,3,9,21,0,0,9,Autumn
0.0,292.26,0.0,0.0,75,Cloudy skies,2008-10-04,1994,3,9,22,0,0,9,Autumn
0.0,291.72,0.0,0.0,75,Cloudy skies,2008-10-04,1175,3,9,23,0,0,9,Autumn
0.0,290.73,0.0,0.0,75,Cloudy skies,2008-10-05,637,3,9,0,0,1,9,Autumn
0.0,291.06,0.0,0.0,40,Cloudy skies,2008-10-05,391,3,19,1,0,1,9,Autumn
0.0,289.56,0.0,0.0,0,Clear skies,2008-10-05,372,2,3,3,0,1,9,Autumn
0.0,283.71,0.0,0.0,76,Cloudy skies,2008-10-05,2490,3,9,5,0,1,9,Autumn
0.0,282.34,0.0,0.0,90,Cloudy skies,2008-10-05,5542,3,10,6,0,1,9,Autumn
0.0,281.89,0.0,0.0,90,Cloudy skies,2008-10-05,6632,3,10,7,0,1,9,Autumn
0.0,281.17,0.0,0.0,91,Cloudy skies,2008-10-05,5541,3,10,8,0,1,9,Autumn
0.0,280.52,0.0,0.0,75,Cloudy skies,2008-10-05,5409,3,9,9,0,1,9,Autumn
0.0,280.21,0.0,0.0,76,Cloudy skies,2008-10-05,4775,3,9,10,0,1,9,Autumn
0.0,280.9,0.0,0.0,90,Cloudy skies,2008-10-05,5222,3,10,11,0,1,9,Autumn
0.0,281.53,0.0,0.0,91,Cloudy skies,2008-10-05,5879,3,10,12,0,0,9,Autumn
0.0,282.03,0.0,0.0,75,Cloudy skies,2008-10-05,5972,3,9,13,0,0,9,Autumn
0.0,282.18,0.0,0.0,90,Cloudy skies,2008-10-05,6116,3,10,14,0,0,9,Autumn
0.0,282.41,0.0,0.0,90,Cloudy skies,2008-10-05,6136,3,10,15,0,0,9,Autumn
0.0,281.93,0.0,0.0,91,Cloudy skies,2008-10-05,6079,3,10,16,0,0,9,Autumn
0.0,281.52,0.0,0.0,90,Cloudy skies,2008-10-05,6171,3,10,17,0,0,9,Autumn
0.0,281.87,0.0,0.0,90,Cloudy skies,2008-10-05,5392,3,10,18,0,0,9,Autumn
0.0,280.35,0.0,0.0,91,Cloudy skies,2008-10-05,4066,3,10,19,0,0,9,Autumn
0.0,280.08,0.0,0.0,91,Cloudy skies,2008-10-05,3374,3,10,20,0,0,9,Autumn
0.0,279.85,0.0,0.0,75,Cloudy skies,2008-10-05,2979,3,9,21,0,0,8,Autumn
0.0,279.42,0.0,0.0,40,Cloudy skies,2008-10-05,2455,3,19,22,0,0,8,Autumn
0.0,279.56,0.0,0.0,40,Cloudy skies,2008-10-05,1838,3,19,23,0,0,8,Autumn
0.0,279.11,0.0,0.0,90,Cloudy skies,2008-10-06,1241,3,10,0,0,1,8,Autumn
0.0,279.05,0.0,0.0,90,Cloudy skies,2008-10-06,722,3,10,1,0,1,8,Autumn
0.0,278.69,0.0,0.0,90,Cloudy skies,2008-10-06,549,3,10,2,0,1,8,Autumn
0.0,277.89,0.0,0.0,76,Cloudy skies,2008-10-06,414,3,9,4,0,1,8,Autumn
0.0,276.65,0.0,0.0,20,Cloudy skies,2008-10-06,689,3,20,5,0,1,8,Autumn
0.0,276.0,0.0,0.0,2,Clear skies,2008-10-06,1361,2,3,6,0,1,8,Autumn
0.0,275.87,0.0,0.0,1,Clear skies,2008-10-06,2079,2,3,7,0,1,8,Autumn
0.0,275.59,0.0,0.0,2,Clear skies,2008-10-06,3343,2,3,8,0,1,8,Autumn
0.0,275.49,0.0,0.0,41,Cloudy skies,2008-10-06,4260,3,19,9,0,1,8,Autumn
0.0,277.38,0.0,0.0,20,Cloudy skies,2008-10-06,4866,3,20,10,0,1,8,Autumn
0.0,278.84,0.0,0.0,20,Cloudy skies,2008-10-06,5196,3,20,11,0,1,8,Autumn
0.0,279.98,0.0,0.0,41,Cloudy skies,2008-10-06,5674,3,19,12,0,0,9,Autumn
0.0,280.82,0.0,0.0,75,Cloudy skies,2008-10-06,5076,3,9,13,0,0,9,Autumn
0.0,281.05,0.0,0.0,75,Cloudy skies,2008-10-06,5031,3,9,14,0,0,9,Autumn
0.0,280.4,0.0,0.0,75,Cloudy skies,2008-10-06,5155,3,9,15,0,0,9,Autumn
0.0,279.66,0.0,0.0,91,Cloudy skies,2008-10-06,5033,3,10,16,0,0,8,Autumn
0.0,279.61,0.0,0.0,90,Cloudy skies,2008-10-06,4781,3,10,17,0,0,8,Autumn
0.0,279.09,0.0,0.0,90,Cloudy skies,2008-10-06,4372,3,10,18,0,0,8,Autumn
0.0,278.46,0.0,0.0,90,Cloudy skies,2008-10-06,3869,3,10,19,0,0,8,Autumn
0.0,279.16,0.0,0.0,91,Cloudy skies,2008-10-06,3164,3,10,20,0,0,8,Autumn
0.0,278.13,0.0,0.0,90,Cloudy skies,2008-10-06,2999,3,10,21,0,0,8,Autumn
0.0,277.3,0.0,0.0,90,Cloudy skies,2008-10-06,3204,3,10,22,0,0,8,Autumn
0.0,276.74,0.0,0.0,75,Cloudy skies,2008-10-06,1948,3,9,23,0,0,8,Autumn
0.0,277.11,0.0,0.0,75,Cloudy skies,2008-10-07,1235,3,9,0,0,1,8,Autumn
0.0,276.03,0.0,0.0,90,Cloudy skies,2008-10-07,325,3,10,3,0,1,8,Autumn
0.0,276.05,0.0,0.0,90,Cloudy skies,2008-10-07,318,3,10,4,0,1,8,Autumn
0.0,275.81,0.0,0.0,75,Cloudy skies,2008-10-07,637,3,9,5,0,1,8,Autumn
0.0,275.15,0.0,0.0,90,Cloudy skies,2008-10-07,1516,3,10,6,0,1,8,Autumn
0.0,275.27,0.0,0.0,91,Cloudy skies,2008-10-07,1543,3,10,7,0,1,8,Autumn
0.0,275.77,0.0,0.0,75,Cloudy skies,2008-10-07,2238,3,9,8,0,1,8,Autumn
0.0,275.95,0.0,0.0,75,Cloudy skies,2008-10-07,4577,3,9,9,0,1,8,Autumn
0.0,277.14,0.0,0.0,75,Cloudy skies,2008-10-07,4634,3,9,10,0,1,8,Autumn
0.0,277.41,0.0,0.0,91,Cloudy skies,2008-10-07,4539,3,10,11,0,1,8,Autumn
0.0,277.53,0.0,0.0,90,Cloudy skies,2008-10-07,5146,3,10,12,0,0,8,Autumn
0.0,278.65,0.0,0.0,90,Cloudy skies,2008-10-07,6644,3,10,13,0,0,8,Autumn
0.0,279.57,0.0,0.0,90,Cloudy skies,2008-10-07,6594,3,10,14,0,0,8,Autumn
0.0,279.57,0.0,0.0,90,Cloudy skies,2008-10-07,4436,3,10,15,0,0,8,Autumn
0.0,279.64,0.0,0.0,90,Cloudy skies,2008-10-07,4334,3,10,16,0,0,8,Autumn
0.0,280.22,0.0,0.0,91,Cloudy skies,2008-10-07,3843,3,10,17,0,0,9,Autumn
0.0,279.37,0.0,0.0,91,Cloudy skies,2008-10-07,4019,3,10,18,0,0,8,Autumn
0.0,278.81,0.0,0.0,90,Cloudy skies,2008-10-07,3386,3,10,19,0,0,8,Autumn
0.0,277.69,0.0,0.0,76,Cloudy skies,2008-10-07,2816,3,9,20,0,0,8,Autumn
0.0,275.93,0.0,0.0,90,Cloudy skies,2008-10-07,2119,3,10,21,0,0,8,Autumn
0.0,275.58,0.0,0.0,75,Cloudy skies,2008-10-07,1557,3,9,22,0,0,8,Autumn
0.0,274.82,0.0,0.0,21,Cloudy skies,2008-10-07,966,3,20,23,0,0,8,Autumn
1.0,274.08,0.0,0.0,20,Cloudy skies,2008-10-08,462,3,20,0,0,1,8,Autumn
0.0,273.62,0.0,0.0,20,Cloudy skies,2008-10-08,340,3,20,1,0,1,8,Autumn
0.0,272.68,0.0,0.0,1,Clear skies,2008-10-08,266,2,3,2,0,1,8,Autumn
0.0,271.65,0.0,0.0,2,Clear skies,2008-10-08,316,2,3,3,0,1,8,Autumn
0.0,271.53,0.0,0.0,1,Clear skies,2008-10-08,788,2,3,4,0,1,8,Autumn
0.0,270.53,0.0,0.0,1,Clear skies,2008-10-08,2573,2,3,5,0,1,8,Autumn
0.0,270.61,0.0,0.0,20,Cloudy skies,2008-10-08,5573,3,20,6,0,1,8,Autumn
0.0,270.11,0.0,0.0,20,Cloudy skies,2008-10-08,6683,3,20,7,0,1,8,Autumn
0.0,271.93,0.0,0.0,20,Cloudy skies,2008-10-08,5970,3,20,8,0,1,8,Autumn
0.0,274.21,0.0,0.0,21,Cloudy skies,2008-10-08,4837,3,20,9,0,1,8,Autumn
0.0,276.97,0.0,0.0,20,Cloudy skies,2008-10-08,4405,3,20,10,0,1,8,Autumn
0.0,280.27,0.0,0.0,20,Cloudy skies,2008-10-08,4420,3,20,11,0,1,9,Autumn
0.0,280.14,0.0,0.0,1,Clear skies,2008-10-08,4653,2,3,12,0,0,9,Autumn
0.0,282.94,0.0,0.0,40,Cloudy skies,2008-10-08,4610,3,19,13,0,0,9,Autumn
0.0,283.14,0.0,0.0,40,Cloudy skies,2008-10-08,5128,3,19,14,0,0,9,Autumn
0.0,283.88,0.0,0.0,1,Clear skies,2008-10-08,5504,2,3,15,0,0,9,Autumn
0.0,284.73,0.0,0.0,1,Clear skies,2008-10-08,5986,2,3,16,0,0,9,Autumn
0.0,285.28,0.0,0.0,40,Cloudy skies,2008-10-08,5670,3,19,17,0,0,9,Autumn
0.0,285.03,0.0,0.0,40,Cloudy skies,2008-10-08,4263,3,19,18,0,0,9,Autumn
0.0,282.99,0.0,0.0,20,Cloudy skies,2008-10-08,3077,3,20,19,0,0,9,Autumn
0.0,280.81,0.0,0.0,2,Clear skies,2008-10-08,2383,2,3,20,0,0,9,Autumn
0.0,279.45,0.0,0.0,2,Clear skies,2008-10-08,2035,2,3,21,0,0,8,Autumn
0.0,279.0,0.0,0.0,1,Clear skies,2008-10-08,1405,2,3,22,0,0,8,Autumn
0.0,279.26,0.0,0.0,2,Clear skies,2008-10-08,920,2,3,23,0,0,8,Autumn
0.0,278.48,0.0,0.0,2,Clear skies,2008-10-09,525,2,3,0,0,1,8,Autumn
0.0,277.87,0.0,0.0,1,Clear skies,2008-10-09,308,2,3,1,0,1,8,Autumn
0.0,278.47,0.0,0.0,1,Clear skies,2008-10-09,253,2,3,2,0,1,8,Autumn
0.0,277.37,0.0,0.0,21,Cloudy skies,2008-10-09,803,3,20,4,0,1,8,Autumn
0.0,277.52,0.0,0.0,40,Cloudy skies,2008-10-09,2682,3,19,5,0,1,8,Autumn
0.0,277.5,0.0,0.0,41,Cloudy skies,2008-10-09,5735,3,19,6,0,1,8,Autumn
0.0,278.31,0.0,0.0,75,Cloudy skies,2008-10-09,6458,3,9,7,0,1,8,Autumn
0.0,279.08,0.0,0.0,90,Cloudy skies,2008-10-09,5767,3,10,8,0,1,8,Autumn
